_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
187,AR5-EGR-710,Enso Green Holdings A Limited,Allocation Round 5,Solar PV,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,40.000
188,AR5-EHW-610,Enoch Hill Windfarm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2027-04-01 00:00:00.0000000,69.000
189,AR5-EMB-500,EMEC Magallanes Berth 1,Allocation Round 5,Tidal Stream,Distribution,Pre-MDD,2027-09-01 00:00:00.0000000,1.500
190,AR5-ENG-710,Enso Green Holdings I Limited,Allocation Round 5,Solar PV,Transmission,Pre-MDD,2026-05-15 00:00:00.0000000,57.000
191,AR5-EUG-600,ENERGYFARM UK GARBET LLP,Allocation Round 5,Onshore Wind,Distribution,Pre-Start Date,2026-10-31 00:00:00.0000000,39.900
192,AR5-EUH-610,Energyfarm UK Hare Craig LLP,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2027-10-31 00:00:00.0000000,46.200
193,AR5-EUM-610,ENERGYFARM UK MARGREE LLP,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2030-10-31 00:00:00.0000000,50.000
194,AR5-FEW-610,Fell Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-10-30 00:00:00.0000000,50.000
195,AR5-FTW-600,Foel Trawsnant Wind Farm,Allocation Round 5,Onshore Wind,Distribution,Pre-MDD,2029-02-28 00:00:00.0000000,34.800
196,AR5-GAS-700,Gammaton Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-03-31 00:00:00.0000000,28.570
197,AR5-GMS-700,Galton Manor Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2029-06-29 00:00:00.0000000,20.000
198,AR5-GOS-700,Gonerby Solar,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-03-31 00:00:00.0000000,49.990
199,AR5-GRG-700,Grim12 Grimsby,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2026-03-31 00:00:00.0000000,49.900
200,AR5-GRW-610,Greenburn Wind Park,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2029-03-14 00:00:00.0000000,63.000
201,AR5-HAR-700,Harbury,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,40.000
202,AR5-HEW-610,Heathland Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,40.000
203,AR5-HIN-700,Hinckley,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,35.000
204,AR5-HUS-700,Hulam Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,49.990
205,AR5-KEK-700,Kemb04 Kemble,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2026-03-31 00:00:00.0000000,49.900
206,AR5-KIL-700,Kings Lynn,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-04-03 00:00:00.0000000,49.900
207,AR5-LAD-700,Land at Dawley Road (New Works),Allocation Round 5,Solar PV,Distribution,Pre-MDD,2026-03-03 00:00:00.0000000,21.000
208,AR5-LAG-700,Land at Guston Court Farm (Chalkpit),Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-01-02 00:00:00.0000000,17.000
209,AR5-LAI-610,LAIRG II LLP,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2026-10-31 00:00:00.0000000,50.000
210,AR5-LAN-700,Langford,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-01-01 00:00:00.0000000,35.710
211,AR5-LAS-700,Lawns Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-03-31 00:00:00.0000000,20.000
212,AR5-LHW-600,Lurg Hill Wind Farm,Allocation Round 5,Onshore Wind,Distribution,Pre-MDD,2027-01-01 00:00:00.0000000,15.000
213,AR5-LIW-610,Limekiln Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-Start Date,2028-03-31 00:00:00.0000000,106.000
214,AR5-LOH-700,Low Horton,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-04-01 00:00:00.0000000,40.000
215,AR5-LOS-700,Locquiers Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2027-04-30 00:00:00.0000000,12.000
216,AR5-MAR-510,MeyGen AR54,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2031-06-30 00:00:00.0000000,1.600
217,AR5-MCG-710,Melksham Calne Green,Allocation Round 5,Solar PV,Transmission,Pre-Start Date,2027-10-01 00:00:00.0000000,18.300
218,AR5-MEA-510,MeyGen AR52,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2031-06-30 00:00:00.0000000,5.600
219,AR5-MEB-510,MeyGen AR53,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2031-06-30 00:00:00.0000000,2.940
220,AR5-MEY-510,MeyGen AR51,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2031-06-30 00:00:00.0000000,11.800
221,AR5-MGP-800,Manhay Geothermal Power Plant,Allocation Round 5,Geothermal,Distribution,Pre-MDD,2027-01-01 00:00:00.0000000,5.000
222,AR5-MIN-710,Minety,Allocation Round 5,Solar PV,Transmission,Pre-MDD,2028-01-01 00:00:00.0000000,47.500
223,AR5-MLS-700,Moreton Lane Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-01-01 00:00:00.0000000,49.000
224,AR5-MME-500,Morlais Mor Energy Zone GO3,Allocation Round 5,Tidal Stream,Distribution,Pre-MDD,2027-03-17 00:00:00.0000000,4.500
225,AR5-MMG-500,Morlais Magallanes GR3 Extension,Allocation Round 5,Tidal Stream,Distribution,Pre-MDD,2028-04-30 00:00:00.0000000,3.000
226,AR5-MOS-700,Moorside Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2029-10-30 00:00:00.0000000,20.000
227,AR5-MVI-510,Morlais Verdant Isles BL3,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2028-03-28 00:00:00.0000000,4.900
228,AR5-NSN-700,NextPower SPV 9 Ltd,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,24.200
229,AR5-OME-504,Orbital Marine Eday 4,Allocation Round 5,Tidal Stream,Distribution,Pre-Start Date,2028-03-16 00:00:00.0000000,4.800
230,AR5-ORM-504,Orbital Marine Eday 3,Allocation Round 5,Tidal Stream,Distribution,Pre-Start Date,2028-03-16 00:00:00.0000000,2.400
231,AR5-PER-700,PERRINPIT ROAD SOLAR LIMITED,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-04-01 00:00:00.0000000,38.630
232,AR5-PES-700,Peradon Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2027-04-01 00:00:00.0000000,49.000
233,AR5-PGP-800,Penhallow Geothermal Power Plant,Allocation Round 5,Geothermal,Distribution,Pre-MDD,2027-10-01 00:00:00.0000000,5.000
234,AR5-PLI-600,Pearie Law II Wind Farm Ltd,Allocation Round 5,Onshore Wind,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,20.700
235,AR5-PRI-700,Primrose,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-04-03 00:00:00.0000000,17.600
236,AR5-PRS-700,Preston Farm Solar Park,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2026-06-30 00:00:00.0000000,20.000
237,AR5-PSF-700,Purton solar farm,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-04-01 00:00:00.0000000,15.000
238,AR5-RWS-700,Rampisham Woods Solar,Allocation Round 5,Solar PV,Distribution,Live (Pre-FIC),2025-12-14 00:00:00.0000000,7.600
239,AR5-SAB-700,Sandon Brook,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,41.700
240,AR5-SAW-700,Saffron Walden,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,12.000
241,AR5-SHA-700,Shaftesbury,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,20.000
242,AR5-SLW-610,Slickly Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
243,AR5-SOF-710,Soay Solar Farm,Allocation Round 5,Solar PV,Transmission,Pre-Start Date,2026-12-03 00:00:00.0000000,49.990
244,AR5-SSW-610,Strathy South Wind Farm,Allocation Round 5,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,217.000
245,AR5-STO-700,Stoneshollow,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-01-01 00:00:00.0000000,49.900
246,AR5-SWW-610,Strathy Wood Windfarm,Allocation Round 5,Onshore Wind,Transmission,Pre-Start Date,2027-04-01 00:00:00.0000000,62.700
247,AR5-UDG-800,United Downs Geothermal Power Plant,Allocation Round 5,Geothermal,Distribution,Pre-MDD,2026-05-01 00:00:00.0000000,2.000
248,AR5-VWA-910,Viking Wind Farm AR5,Allocation Round 5,Remote Island Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,223.600
249,AR5-WES-700,Wood End Solar PV,Allocation Round 5,Solar PV,Distribution,Terminated,2027-11-01 00:00:00.0000000,40.000
250,AR5-WHW-600,Watson Head Wind Farm Limited,Allocation Round 5,Onshore Wind,Distribution,Pre-Start Date,2027-04-01 00:00:00.0000000,8.400
251,AR5-WIS-700,Winkburn Solar Farm,Allocation Round 5,Solar PV,Distribution,Pre-Start Date,2028-03-31 00:00:00.0000000,32.650
252,AR5-WOS-700,WOODINGTON SOLAR LIMITED,Allocation Round 5,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,44.000
253,AR5-YNL-510,Ynnir Lleuad,Allocation Round 5,Tidal Stream,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,10.000
254,AR6-ADV-700,Adur Valley,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,14.250
255,AR6-AFS-700,Aston Flamville Solar PV,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,20.000
256,AR6-AIT-700,Aithrie,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,29.900
257,AR6-ALW-600,Alaska Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,8.000
258,AR6-AWI-600,Abergorki Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2026-06-30 00:00:00.0000000,9.600
259,AR6-BAR-700,Barnfields,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,14.820
260,AR6-BEA-700,Benthead Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-02-14 00:00:00.0000000,63.000
261,AR6-BED-700,Bedworth Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,16.000
262,AR6-BEN-610,Benbrack Wind Farm - AR6 - A3,Allocation Round 6,Onshore Wind,Transmission,Pre-Start Date,2026-05-01 00:00:00.0000000,13.500
263,AR6-BER-700,Berkeley,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,34.580
264,AR6-BIL-700,Billsbrae,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-06-30 00:00:00.0000000,25.000
265,AR6-BRG-710,Bramford Green Limited,Allocation Round 6,Solar PV,Transmission,Pre-Start Date,2028-04-01 00:00:00.0000000,22.500
266,AR6-BRS-710,Bramley Solar,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2027-08-15 00:00:00.0000000,49.900
267,AR6-BRW-600,BROWNHILL WIND FARM,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,8.400
268,AR6-BRY-700,Brynryhd Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,30.000
269,AR6-BSO-700,Bilbo Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-07-01 00:00:00.0000000,25.000
270,AR6-BTS-700,Burton Top Farm Station Lane,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-07-01 00:00:00.0000000,8.000
271,AR6-BWA-610,Benbrack Wind Farm - AR6 - A2,Allocation Round 6,Onshore Wind,Transmission,Pre-Start Date,2026-05-01 00:00:00.0000000,22.500
272,AR6-CAL-700,Callies,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,36.560
273,AR6-CAS-700,Carlton Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-09-30 00:00:00.0000000,37.500
274,AR6-CAW-600,Camilty Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2027-01-01 00:00:00.0000000,21.600
275,AR6-CBT-700,CBT24,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-15 00:00:00.0000000,12.800
276,AR6-CCS-700,Copse Close Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-12-08 00:00:00.0000000,44.000
277,AR6-CHA-700,Charleston,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-02-01 00:00:00.0000000,20.000
278,AR6-CHE-700,Chestnut Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-06-30 00:00:00.0000000,20.000
279,AR6-CHS-700,Crays Hall Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,25.920
280,AR6-CHW-610,Chleansaid Wind Farm,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2028-11-01 00:00:00.0000000,96.000
281,AR6-CLI-600,Clashindarroch II Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,63.000
282,AR6-CLS-710,CLUMP FARM SOLAR LIMITED,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2028-04-01 00:00:00.0000000,49.990
283,AR6-CLW-610,Cloiche Wind Farm,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,130.500
284,AR6-COL-700,Copse Lodge,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,9.980
285,AR6-COS-700,Coldharbour Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,46.000
286,AR6-CRI-610,Crystal Rig IV Ltd,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2026-05-01 00:00:00.0000000,48.200
287,AR6-CSO-700,Costock Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,49.900
288,AR6-CTW-610,Corriegarth 2 Wind Farm Limited,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2028-04-01 00:00:00.0000000,66.190
289,AR6-CUT-700,Cutlers,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,19.760
290,AR6-CWE-600,Carno Wind Farm Extension Phase III,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2028-03-01 00:00:00.0000000,45.000
291,AR6-DSO-700,Duxhurst Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,19.490
292,AR6-DUS-700,Ducklington Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,18.000
293,AR6-DWS-700,Derril Water Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,15.500
294,AR6-EAA-011,East Anglia Two Phase 1,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2028-05-01 00:00:00.0000000,255.820
295,AR6-EAA-012,East Anglia Two Phase 2,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2028-06-17 00:00:00.0000000,346.100
296,AR6-EAA-013,East Anglia Two Phase 3,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2028-08-15 00:00:00.0000000,361.150
297,AR6-EAT-010,EA3B,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-04-01 00:00:00.0000000,158.900
298,AR6-EDW-600,Easter Drumclair wind farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2026-10-04 00:00:00.0000000,6.000
299,AR6-EXE-700,Exeter,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,34.580
300,AR6-FAM-700,Fambridge,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,39.520
301,AR6-FGS-700,Forest Gate Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-06-01 00:00:00.0000000,40.000
302,AR6-FRA-700,Fraddon,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,49.900
303,AR6-GLS-700,Glenniston Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-04-30 00:00:00.0000000,39.000
304,AR6-GOW-600,Golticlay Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2027-04-01 00:00:00.0000000,62.700
305,AR6-GSO-700,Gaywood Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-02-14 00:00:00.0000000,10.500
306,AR6-GSS-700,Grey Street Solar Ltd (Fiskerton 3),Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-07-01 00:00:00.0000000,49.900
307,AR6-GUR-710,Gunthorpe Road,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
308,AR6-GVO-910,Green Volt Offshore Windfarm (GV01),Allocation Round 6,Floating Offshore Wind,Transmission,Pre-MDD,2029-03-31 00:00:00.0000000,400.000
309,AR6-HEE-700,Park Hill Energy Extension,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,8.000
310,AR6-HES-700,Henley Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-02-14 00:00:00.0000000,12.000
311,AR6-HHS-700,Higher Hawkerland solar farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,10.204
312,AR6-HLS-700,Horsey Level Solar Park,Allocation Round 6,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,20.000
313,AR6-HOC-700,Hockliffe,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,20.000
314,AR6-HOP-010,Hornsea Project Three Offshore Wind Farm AR6 C,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-12-01 00:00:00.0000000,360.000
315,AR6-HOS-700,Horton Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,50.000
316,AR6-HPF-010,Hornsea Project Four Offshore Wind Farm,Allocation Round 6,Offshore Wind,Transmission,Terminated,2030-01-01 00:00:00.0000000,2400.000
317,AR6-HPR-010,Hornsea Project Three Offshore Wind Farm AR6 B,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-10-01 00:00:00.0000000,360.000
318,AR6-HPS-700,Hawthorn Pit Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,45.000
319,AR6-HPT-010,Hornsea Project Three Offshore Wind Farm AR6 A,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-06-01 00:00:00.0000000,360.000
320,AR6-HSS-700,HSS24,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-07-15 00:00:00.0000000,32.000
321,AR6-HWS-700,HW SOLAR FARM LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,18.000
322,AR6-HWZ-610,Heathland Wind Farm - Zone 2,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,40.100
323,AR6-ICA-010,Inch Cape A,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-08-06 00:00:00.0000000,177.410
324,AR6-ICB-010,Inch Cape B,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2027-08-06 00:00:00.0000000,88.700
325,AR6-KES-700,Kemberton Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-01-04 00:00:00.0000000,15.000
326,AR6-KFS-700,Kiln Fields Solar Park,Allocation Round 6,Solar PV,Distribution,Pre-Start Date,2026-04-01 00:00:00.0000000,15.000
327,AR6-KHW-600,Kirk Hill Wind Farm,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2026-07-01 00:00:00.0000000,7.050
328,AR6-LAW-700,Laynes Wood,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,49.900
329,AR6-LCS-700,Little Crow Solar Park,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,99.900
330,AR6-LDS-700,Leigh Delamere Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-06-01 00:00:00.0000000,40.000
331,AR6-LEC-700,Leckhampstead Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-01-30 00:00:00.0000000,15.000
332,AR6-LES-700,LEEMING SOLAR FARM LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,39.000
333,AR6-LEW-610,Lethans Wind Farm,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,120.000
334,AR6-LON-700,LONGPASTURE SOLAR FARM LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
335,AR6-LSE-710,Longfield Solar Energy Farm,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2028-06-30 00:00:00.0000000,299.000
336,AR6-LSO-700,Low Farm Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-12-01 00:00:00.0000000,49.900
337,AR6-LWF-610,Lorg Wind Farm,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2029-01-17 00:00:00.0000000,44.000
338,AR6-MAE-700,Maesmawr Solar Park,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,20.000
339,AR6-MEC-700,MONTREATHMONT ENERGY CENTRE LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2029-10-08 00:00:00.0000000,34.370
340,AR6-MED-510,MeyGen AR62,Allocation Round 6,Tidal Stream,Transmission,Pre-MDD,2031-06-30 00:00:00.0000000,9.000
341,AR6-MEM-500,Magallanes EMEC Berth 1 Extension,Allocation Round 6,Tidal Stream,Distribution,Pre-MDD,2029-03-31 00:00:00.0000000,3.000
342,AR6-MES-700,Meerdyke Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
343,AR6-MOW-010,Moray Offshore Windfarm (West) String 9,Allocation Round 6,Offshore Wind,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,73.500
344,AR6-MSO-700,Moat Farm Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-05-01 00:00:00.0000000,20.340
345,AR6-NDS-700,North Dairy Solar Park,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,47.000
346,AR6-NEC-700,NEXTPOWER CHAPEL LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,17.300
347,AR6-NES-700,NEXTPOWER SPV 14 LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,42.800
348,AR6-NHW-700,NEXTPOWER HORTON WOOD Ltd,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,50.000
349,AR6-NRT-710,NRT24,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2028-01-15 00:00:00.0000000,40.900
350,AR6-NSO-700,Locks Farm Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,13.100
351,AR6-OCF-504,OCEANSTAR 5,Allocation Round 6,Tidal Stream,Distribution,Pre-MDD,2029-03-31 00:00:00.0000000,0.500
352,AR6-OCO-504,OCEANSTAR 1,Allocation Round 6,Tidal Stream,Distribution,Pre-MDD,2029-03-31 00:00:00.0000000,1.500
353,AR6-OSS-700,Osberton Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-12-01 00:00:00.0000000,34.000
354,AR6-PAS-700,Parkgate Farm Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,18.000
355,AR6-PHS-700,Preston Hill Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
356,AR6-PRW-610,Priestgill Wind Farm,Allocation Round 6,Onshore Wind,Transmission,Pre-MDD,2027-03-31 00:00:00.0000000,43.630
357,AR6-PSO-700,Preston Farm Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,20.000
358,AR6-PYM-600,Pant y Maen Wind Limited,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2027-10-03 00:00:00.0000000,18.000
359,AR6-RAF-710,Rayleigh Fobbing,Allocation Round 6,Solar PV,Transmission,Pre-MDD,2028-03-31 00:00:00.0000000,49.900
360,AR6-RAS-700,Rayleigh Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,30.000
361,AR6-ROS-700,Rock Farm Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-05-01 00:00:00.0000000,40.000
362,AR6-SEH-700,STRATHRUDDIE ENERGY CENTRE LIMITED,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-07-30 00:00:00.0000000,20.000
363,AR6-SEO-504,SEASTAR 1,Allocation Round 6,Tidal Stream,Distribution,Pre-MDD,2029-03-31 00:00:00.0000000,4.000
364,AR6-SHP-700,Sheepwash Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-05-01 00:00:00.0000000,49.990
365,AR6-SHS-700,Sheraton Hall Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-01-01 00:00:00.0000000,40.000
366,AR6-SKS-700,Skeeby Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-04-01 00:00:00.0000000,39.000
367,AR6-SOS-700,South Park Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,14.930
368,AR6-SSO-700,Stargoose Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2027-05-01 00:00:00.0000000,49.990
369,AR6-STS-700,Steeraway Solar Farm,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-10-01 00:00:00.0000000,30.000
370,AR6-TAS-700,Tamworth Solar LTD,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-07-01 00:00:00.0000000,30.000
371,AR6-TAT-600,Tacher Turbines,Allocation Round 6,Onshore Wind,Distribution,Pre-MDD,2026-05-01 00:00:00.0000000,12.900
372,AR6-TES-700,Thorpe Estate Solar PV,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2026-04-01 00:00:00.0000000,49.900
373,AR6-THS-700,Tolldish Hall Farm Solar,Allocation Round 6,Solar PV,Distribution,Pre-MDD,2028-03-31 00:00:00.0000000,21.180
