_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
45,AR3-DP1-102,Dogger Bank A P2,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,441.000
46,AR3-DP1-103,Dogger Bank A P3,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,456.600
47,AR3-DP2-201,Dogger Bank B P1,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,302.400
48,AR3-DP2-202,Dogger Bank B P2,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,441.000
49,AR3-DP2-203,Dogger Bank B P3,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-07-01 00:00:00.0000000,456.600
50,AR3-DP3-301,Dogger Bank C P1,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2027-07-01 00:00:00.0000000,302.400
51,AR3-DP3-302,Dogger Bank C P2,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2027-07-01 00:00:00.0000000,441.000
52,AR3-DP3-303,Dogger Bank C P3,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2027-07-01 00:00:00.0000000,456.600
53,AR3-FWL-321,Forthwind,Allocation Round 3,Offshore Wind,Distribution,Terminated,2024-04-01 00:00:00.0000000,12.000
54,AR3-HHW-001,Hesta Head Wind Farm,Allocation Round 3,Remote Island Wind,Transmission,Pre-MDD,2028-06-30 00:00:00.0000000,20.400
55,AR3-SEW-101,Seagreen Phase 1,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-09-30 00:00:00.0000000,138.000
56,AR3-SEW-102,Seagreen Phase 2,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2027-03-30 00:00:00.0000000,158.000
57,AR3-SEW-103,Seagreen Phase 3,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2028-03-29 00:00:00.0000000,158.000
58,AR3-SHB-101,Small Heath Bio Power Limited,Allocation Round 3,Advanced Conversion Technology,Distribution,Terminated,2024-12-31 00:00:00.0000000,6.100
59,AR3-SOW-101,Sofia Offshore Wind Farm Phase 1,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-04-30 00:00:00.0000000,364.000
60,AR3-SOW-102,Sofia Offshore Wind Farm Phase 2,Allocation Round 3,Offshore Wind,Transmission,Pre-Start Date,2026-05-30 00:00:00.0000000,420.000
