# Provenance: RO annual-aggregate emitted from Ofgem XLSX dataset companions (SY18-SY23).
#
# Each row below is extracted from the scheme-year XLSX listed in the .meta.json sources[] array.
# SY17 deferred per Phase 05.2 revision_decisions.sy17_disposition (PDF-only year).
#
# Source XLSX inventory (also enumerated in .meta.json):
#   - SY18 (2019-20): https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
#   - SY19 (2020-21): https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
#   - SY20 (2021-22): https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
#   - SY21 (2022-23): https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
#   - SY22 (2023-24): https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
#   - SY23 (2024-25): https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
#
# Audit log:
#   2026-04-24 — Phase 05.2 Plan 02 emission (replaces commit a720ae7 in-place).
#
scheme_year,year,country,technology,generation_gwh,rocs_issued,ro_cost_gbp_nominal,source_pdf_url
SY20,2022,GB,Solar PV,561.1737458786904,768075.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Tidal power,5.7462,28731.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,NI,Fuelled,511.9716388887877,1618810.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,NI,Hydro,17.06649999999116,42470.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,NI,Landfill gas,47.896,47896.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,NI,Onshore wind,2635.886694444322,3460580.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,NI,Solar PV,258.5773690474529,589001.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY21,2023,GB,Fuelled,15434.299888050271,18395622.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Fuelled,1285.7870822887155,2438440.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Fuelled,436.3985162903661,596941.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Hydro,49.66285714285702,49536.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Hydro,2064.593,2064593.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Hydro,119.83071428571425,119787.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Landfill gas,2209.951,2155621.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Landfill gas,249.918,249918.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Landfill gas,72.477,72477.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Offshore wind,18710.235152040113,35075616.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Offshore wind,1144.5739142851423,2704944.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Offshore wind,2104.6939999997376,3915034.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Onshore wind,5695.458777777552,5467615.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Onshore wind,17349.361555554777,16589022.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Onshore wind,2327.386999999875,2202529.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Sewage gas,668.738,527351.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Sewage gas,33.393,32619.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Sewage gas,28.854,28745.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Solar PV,6030.047355145608,8642629.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Solar PV,45.355057315198664,57395.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Solar PV,552.8525521973777,756555.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,GB,Tidal power,12.8728,64364.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,NI,Fuelled,533.4699166665408,1651689.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,NI,Hydro,14.618166666658407,36892.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,NI,Landfill gas,50.448,50448.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,NI,Onshore wind,2848.7115277776447,3808142.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY21,2023,NI,Solar PV,239.00669047603785,543608.0,,https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
SY22,2024,GB,Fuelled,14306.589690472623,17264754.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Fuelled,1365.8922038426317,2617908.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Fuelled,412.013223057331,550765.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
SY22,2024,GB,Hydro,63.54314285714268,63367.0,,https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
