# Provenance: Monthly ROC-issue aggregate regenerated from Ofgem 12-year XLSX (D-01).
# Source: data/raw/ofgem/rocs_report_2006_to_2018_20250410081520.xlsx
#   Sheet: 'ROCs by Tech & Month'
#   Coverage: Apr 2006 – Mar 2018 (12 obligation years SY5–SY17)
# generation_mwh is null throughout — the 12-year XLSX carries ROC counts only.
# country='GB' throughout — the sheet aggregates all UK nations.
#
# Re-generate: uv run python3 -c
#   "from uk_subsidy_tracker.data.ofgem_aggregate import emit_ro_generation_csv; emit_ro_generation_csv()"
#
# SHA256 of source XLSX: 76104acfbb46304867c14549e32fe98e1d0bc3791da1e1a431e8958a80d890b1
year,month,country,technology,generation_mwh,rocs_issued
2006,10,GB,Micro Hydro,,5980.0
2006,10,GB,Off-shore Wind,,73975.0
2006,10,GB,On-shore Wind,,326368.0
2006,10,GB,Photovoltaic,,17.0
2006,10,GB,Photovoltaic 50kW DNC or less,,0.0
2006,10,GB,Sewage Gas,,27471.0
2006,10,GB,Waste using an Advanced Conversion Technology,,108.0
2006,10,GB,Wave Power,,1.0
2006,10,GB,Wind 50kW DNC or less,,4.0
2006,11,GB,Biomass using an Advanced Conversion Technology,,1528.0
2006,11,GB,Co-firing of Biomass with Fossil Fuel,,221953.0
2006,11,GB,Fuelled,,92596.0
2006,11,GB,Hydro 20MW DNC or less,,250836.0
2006,11,GB,Hydro 50kW DNC or less,,65.0
2006,11,GB,Landfill Gas,,359464.0
2006,11,GB,Micro Hydro,,6291.0
2006,11,GB,Off-shore Wind,,75464.0
2006,11,GB,On-shore Wind,,527193.0
2006,11,GB,Photovoltaic,,8.0
2006,11,GB,Photovoltaic 50kW DNC or less,,1.0
2006,11,GB,Sewage Gas,,28839.0
2006,11,GB,Waste using an Advanced Conversion Technology,,154.0
2006,11,GB,Wave Power,,4.0
2006,11,GB,Wind 50kW DNC or less,,5.0
2006,12,GB,Biomass using an Advanced Conversion Technology,,1528.0
2006,12,GB,Co-firing of Biomass with Fossil Fuel,,208365.0
2006,12,GB,Fuelled,,92560.0
2006,12,GB,Hydro 20MW DNC or less,,312288.0
2006,12,GB,Hydro 50kW DNC or less,,72.0
2006,12,GB,Landfill Gas,,372673.0
2006,12,GB,Micro Hydro,,6375.0
2006,12,GB,Off-shore Wind,,54005.0
2006,12,GB,On-shore Wind,,481963.0
2006,12,GB,Photovoltaic,,3.0
2006,12,GB,Photovoltaic 50kW DNC or less,,0.0
2006,12,GB,Sewage Gas,,28424.0
2006,12,GB,Waste using an Advanced Conversion Technology,,100.0
2006,12,GB,Wave Power,,0.0
2006,12,GB,Wind 50kW DNC or less,,10.0
2007,1,GB,Biomass using an Advanced Conversion Technology,,1444.0
2007,1,GB,Co-firing of Biomass with Fossil Fuel,,276969.0
2007,1,GB,Fuelled,,96660.0
2007,1,GB,Hydro 20MW DNC or less,,318688.0
2007,1,GB,Hydro 50kW DNC or less,,73.0
2007,1,GB,Landfill Gas,,371999.0
2007,1,GB,Micro Hydro,,6666.0
2007,1,GB,Off-shore Wind,,86031.0
2007,1,GB,On-shore Wind,,619675.0
2007,1,GB,Photovoltaic,,9.0
2007,1,GB,Photovoltaic 50kW DNC or less,,0.0
2007,1,GB,Sewage Gas,,27524.0
2007,1,GB,Waste using an Advanced Conversion Technology,,148.0
2007,1,GB,Wave Power,,0.0
2007,1,GB,Wind 50kW DNC or less,,7.0
2007,2,GB,Biomass using an Advanced Conversion Technology,,1206.0
2007,2,GB,Co-firing of Biomass with Fossil Fuel,,204468.0
2007,2,GB,Fuelled,,83839.0
2007,2,GB,Hydro 20MW DNC or less,,229762.0
2007,2,GB,Hydro 50kW DNC or less,,62.0
2007,2,GB,Landfill Gas,,342899.0
2007,2,GB,Micro Hydro,,5499.0
2007,2,GB,Off-shore Wind,,54487.0
2007,2,GB,On-shore Wind,,336433.0
2007,2,GB,Photovoltaic,,8.0
2007,2,GB,Photovoltaic 50kW DNC or less,,2.0
2007,2,GB,Sewage Gas,,26568.0
2007,2,GB,Waste using an Advanced Conversion Technology,,0.0
2007,2,GB,Wave Power,,0.0
2007,2,GB,Wind 50kW DNC or less,,5.0
2007,3,GB,Biomass using an Advanced Conversion Technology,,1519.0
2007,3,GB,Co-firing of Biomass with Fossil Fuel,,166009.0
2007,3,GB,Fuelled,,102241.0
2007,3,GB,Hydro 20MW DNC or less,,288350.0
2007,3,GB,Hydro 50kW DNC or less,,97.0
2007,3,GB,Landfill Gas,,383008.0
2007,3,GB,Micro Hydro,,6095.0
2007,3,GB,Off-shore Wind,,70154.0
2007,3,GB,On-shore Wind,,495750.0
2007,3,GB,Photovoltaic,,22.0
2007,3,GB,Photovoltaic 50kW DNC or less,,5.0
2007,3,GB,Sewage Gas,,29831.0
2007,3,GB,Waste using an Advanced Conversion Technology,,0.0
2007,3,GB,Wave Power,,0.0
2007,3,GB,Wind 50kW DNC or less,,9.0
2007,4,GB,Biomass using an Advanced Conversion Technology,,1717.0
2007,4,GB,Co-firing of Biomass with Fossil Fuel,,114924.0
2007,4,GB,Co-firing of Energy Crops,,260.0
2007,4,GB,Fuelled,,93621.0
2007,4,GB,Hydro 20MW DNC or less,,148703.0
2007,4,GB,Hydro 50kW DNC or less,,2690.0
2007,4,GB,Landfill Gas,,367157.0
2007,4,GB,Micro Hydro,,3687.0
2007,4,GB,Off-shore Wind,,40272.0
2007,4,GB,On-shore Wind,,284762.0
2007,4,GB,Photovoltaic,,13.0
2007,4,GB,Photovoltaic 50kW DNC or less,,1189.0
2007,4,GB,Sewage Gas,,29982.0
2007,4,GB,Waste using an Advanced Conversion Technology,,0.0
2007,4,GB,Wave Power,,1.0
2007,4,GB,Wind 50kW DNC or less,,2319.0
2007,5,GB,Biomass using an Advanced Conversion Technology,,1446.0
2007,5,GB,Co-firing of Biomass with Fossil Fuel,,147371.0
2007,5,GB,Co-firing of Energy Crops,,577.0
2007,5,GB,Fuelled,,94150.0
2007,5,GB,Hydro 20MW DNC or less,,146577.0
2007,5,GB,Hydro 50kW DNC or less,,109.0
2007,5,GB,Landfill Gas,,378850.0
2007,5,GB,Micro Hydro,,4258.0
2007,5,GB,Off-shore Wind,,52174.0
2007,5,GB,On-shore Wind,,321057.0
2007,5,GB,Photovoltaic,,34.0
2007,5,GB,Photovoltaic 50kW DNC or less,,7.0
2007,5,GB,Sewage Gas,,31557.0
2007,5,GB,Waste using an Advanced Conversion Technology,,171.0
2007,5,GB,Wave Power,,2.0
2007,5,GB,Wind 50kW DNC or less,,4.0
2007,6,GB,Biomass using an Advanced Conversion Technology,,1216.0
2007,6,GB,Co-firing of Biomass with Fossil Fuel,,119298.0
2007,6,GB,Co-firing of Energy Crops,,963.0
2007,6,GB,Fuelled,,102466.0
2007,6,GB,Hydro 20MW DNC or less,,132802.0
2007,6,GB,Hydro 50kW DNC or less,,123.0
2007,6,GB,Landfill Gas,,367068.0
2007,6,GB,Micro Hydro,,3810.0
2007,6,GB,Off-shore Wind,,40424.0
2007,6,GB,On-shore Wind,,205072.0
2007,6,GB,Photovoltaic,,25.0
2007,6,GB,Photovoltaic 50kW DNC or less,,8.0
2007,6,GB,Sewage Gas,,29214.0
2007,6,GB,Waste using an Advanced Conversion Technology,,247.0
2007,6,GB,Wave Power,,0.0
2007,6,GB,Wind 50kW DNC or less,,4.0
2007,7,GB,Biomass using an Advanced Conversion Technology,,1383.0
2007,7,GB,Co-firing of Biomass with Fossil Fuel,,122197.0
2007,7,GB,Co-firing of Energy Crops,,240.0
2007,7,GB,Fuelled,,90984.0
2007,7,GB,Hydro 20MW DNC or less,,156727.0
2007,7,GB,Hydro 50kW DNC or less,,136.0
2007,7,GB,Landfill Gas,,376600.0
2007,7,GB,Micro Hydro,,5021.0
2007,7,GB,Off-shore Wind,,55223.0
2007,7,GB,On-shore Wind,,261590.0
2007,7,GB,Photovoltaic,,24.0
2007,7,GB,Photovoltaic 50kW DNC or less,,11.0
2007,7,GB,Sewage Gas,,28348.0
2007,7,GB,Waste using an Advanced Conversion Technology,,199.0
2007,7,GB,Wave Power,,0.0
2007,7,GB,Wind 50kW DNC or less,,5.0
2007,8,GB,Biomass using an Advanced Conversion Technology,,1418.0
2007,8,GB,Co-firing of Biomass with Fossil Fuel,,108679.0
2007,8,GB,Co-firing of Energy Crops,,638.0
2007,8,GB,Fuelled,,75219.0
2007,8,GB,Hydro 20MW DNC or less,,165276.0
2007,8,GB,Hydro 50kW DNC or less,,119.0
2007,8,GB,Landfill Gas,,378515.0
2007,8,GB,Micro Hydro,,5185.0
2007,8,GB,Off-shore Wind,,55343.0
2007,8,GB,On-shore Wind,,302591.0
2007,8,GB,Photovoltaic,,23.0
2007,8,GB,Photovoltaic 50kW DNC or less,,7.0
2007,8,GB,Sewage Gas,,28627.0
2007,8,GB,Waste using an Advanced Conversion Technology,,244.0
2007,8,GB,Wave Power,,0.0
2007,8,GB,Wind 50kW DNC or less,,4.0
2007,9,GB,Biomass using an Advanced Conversion Technology,,1419.0
2007,9,GB,Co-firing of Biomass with Fossil Fuel,,101290.0
2007,9,GB,Co-firing of Energy Crops,,316.0
2007,9,GB,Fuelled,,69579.0
2007,9,GB,Hydro 20MW DNC or less,,162017.0
2007,9,GB,Hydro 50kW DNC or less,,77.0
2007,9,GB,Landfill Gas,,367436.0
2007,9,GB,Micro Hydro,,4611.0
2007,9,GB,Off-shore Wind,,66865.0
2007,9,GB,On-shore Wind,,361127.0
2007,9,GB,Photovoltaic,,19.0
2007,9,GB,Photovoltaic 50kW DNC or less,,6.0
2007,9,GB,Sewage Gas,,29582.0
2007,9,GB,Waste using an Advanced Conversion Technology,,175.0
2007,9,GB,Wave Power,,1.0
2007,9,GB,Wind 50kW DNC or less,,4.0
2007,10,GB,Biomass using an Advanced Conversion Technology,,1500.0
2007,10,GB,Co-firing of Biomass with Fossil Fuel,,174924.0
2007,10,GB,Co-firing of Energy Crops,,533.0
2007,10,GB,Fuelled,,84420.0
2007,10,GB,Hydro 20MW DNC or less,,161723.0
2007,10,GB,Hydro 50kW DNC or less,,81.0
2007,10,GB,Landfill Gas,,383981.0
2007,10,GB,Micro Hydro,,3678.0
2007,10,GB,Off-shore Wind,,50142.0
2007,10,GB,On-shore Wind,,289989.0
2007,10,GB,Photovoltaic,,16.0
2007,10,GB,Photovoltaic 50kW DNC or less,,4.0
2007,10,GB,Sewage Gas,,31270.0
2007,10,GB,Waste using an Advanced Conversion Technology,,218.0
2007,10,GB,Wave Power,,1.0
2007,10,GB,Wind 50kW DNC or less,,5.0
2007,11,GB,Biomass using an Advanced Conversion Technology,,1348.0
2007,11,GB,Co-firing of Biomass with Fossil Fuel,,186300.0
2007,11,GB,Co-firing of Energy Crops,,241.0
2007,11,GB,Fuelled,,122268.0
2007,11,GB,Hydro 20MW DNC or less,,212474.0
2007,11,GB,Hydro 50kW DNC or less,,117.0
2007,11,GB,Landfill Gas,,379391.0
2007,11,GB,Micro Hydro,,4907.0
2007,11,GB,Off-shore Wind,,103571.0
2007,11,GB,On-shore Wind,,450057.0
2007,11,GB,Photovoltaic,,9.0
2007,11,GB,Photovoltaic 50kW DNC or less,,2.0
2007,11,GB,Sewage Gas,,26951.0
2007,11,GB,Waste using an Advanced Conversion Technology,,174.0
2007,11,GB,Wave Power,,1.0
2007,11,GB,Wind 50kW DNC or less,,11.0
2007,12,GB,Biomass using an Advanced Conversion Technology,,1314.0
2007,12,GB,Co-firing of Biomass with Fossil Fuel,,197643.0
2007,12,GB,Co-firing of Energy Crops,,471.0
2007,12,GB,Fuelled,,149683.0
2007,12,GB,Hydro 20MW DNC or less,,250392.0
2007,12,GB,Hydro 50kW DNC or less,,137.0
2007,12,GB,Landfill Gas,,394377.0
2007,12,GB,Micro Hydro,,6265.0
2007,12,GB,Off-shore Wind,,124951.0
2007,12,GB,On-shore Wind,,549420.0
2007,12,GB,Photovoltaic,,10.0
2007,12,GB,Photovoltaic 50kW DNC or less,,0.0
2007,12,GB,Sewage Gas,,27501.0
2007,12,GB,Waste using an Advanced Conversion Technology,,182.0
2007,12,GB,Wave Power,,3.0
2007,12,GB,Wind 50kW DNC or less,,3.0
2008,1,GB,Biomass using an Advanced Conversion Technology,,1293.0
2008,1,GB,Co-firing of Biomass with Fossil Fuel,,155250.0
2008,1,GB,Co-firing of Energy Crops,,804.0
2008,1,GB,Fuelled,,141577.0
2008,1,GB,Hydro 20MW DNC or less,,282944.0
2008,1,GB,Hydro 50kW DNC or less,,134.0
2008,1,GB,Landfill Gas,,395134.0
2008,1,GB,Micro Hydro,,7204.0
2008,1,GB,Off-shore Wind,,142569.0
2008,1,GB,On-shore Wind,,635753.0
2008,1,GB,Photovoltaic,,6.0
2008,1,GB,Photovoltaic 50kW DNC or less,,0.0
2008,1,GB,Sewage Gas,,27595.0
2008,1,GB,Waste using an Advanced Conversion Technology,,35.0
2008,1,GB,Wave Power,,5.0
2008,1,GB,Wind 50kW DNC or less,,4.0
2008,2,GB,Biomass using an Advanced Conversion Technology,,1278.0
2008,2,GB,Co-firing of Biomass with Fossil Fuel,,171100.0
2008,2,GB,Co-firing of Energy Crops,,863.0
2008,2,GB,Fuelled,,125281.0
2008,2,GB,Hydro 20MW DNC or less,,267860.0
2008,2,GB,Hydro 50kW DNC or less,,123.0
2008,2,GB,Landfill Gas,,369082.0
2008,2,GB,Micro Hydro,,5761.0
2008,2,GB,Off-shore Wind,,94474.0
2008,2,GB,On-shore Wind,,528175.0
2008,2,GB,Photovoltaic,,17.0
2008,2,GB,Photovoltaic 50kW DNC or less,,4.0
2008,2,GB,Sewage Gas,,27967.0
2008,2,GB,Waste using an Advanced Conversion Technology,,15.0
2008,2,GB,Wave Power,,4.0
2008,2,GB,Wind 50kW DNC or less,,4.0
2008,3,GB,Biomass using an Advanced Conversion Technology,,1380.0
2008,3,GB,Co-firing of Biomass with Fossil Fuel,,166084.0
2008,3,GB,Co-firing of Energy Crops,,0.0
2008,3,GB,Fuelled,,98322.0
2008,3,GB,Hydro 20MW DNC or less,,290365.0
2008,3,GB,Hydro 50kW DNC or less,,276.0
2008,3,GB,Landfill Gas,,395697.0
2008,3,GB,Micro Hydro,,6684.0
2008,3,GB,Off-shore Wind,,137192.0
2008,3,GB,On-shore Wind,,624456.0
2008,3,GB,Photovoltaic,,19.0
2008,3,GB,Photovoltaic 50kW DNC or less,,23.0
2008,3,GB,Sewage Gas,,31226.0
2008,3,GB,Waste using an Advanced Conversion Technology,,231.0
2008,3,GB,Wave Power,,4.0
2008,3,GB,Wind 50kW DNC or less,,6.0
2008,4,GB,Biomass,,7.0
2008,4,GB,Biomass using an Advanced Conversion Technology,,1341.0
2008,4,GB,Co-firing of Biomass with Fossil Fuel,,176200.0
2008,4,GB,Co-firing of Energy Crops,,1044.0
2008,4,GB,Fuelled,,123960.0
2008,4,GB,Hydro 20MW DNC or less,,212989.0
2008,4,GB,Hydro 50kW DNC or less,,3818.0
2008,4,GB,Hydro greater than 20MW DNC,,0.0
2008,4,GB,Landfill Gas,,384520.0
2008,4,GB,Micro Hydro,,4808.0
